0x944D	0xE6CC
0x944E	0xE6CD
0x944F	0xE6CE
0x9450	0xE6CF
0x9451	0xE6D0
0x9454	0xE6D3
0x9455	0xE6D4
0x9456	0xE6D5
0x9457	0xE6D6
0x945A	0xE6D9
0x945D	0xE6DC
0x9463	0xE6E2
0x9464	0xE6E3
0x9468	0xE6E7
0x9469	0xE6E8
0x946A	0xE6E9
0x946B	0xE6EA
0x946C	0xE6EB
0x946D	0xE6EC
0x946E	0xE6ED
0x9470	0xE6EF
0x9471	0xE6F0
0x9472	0xE6F1
0x9475	0xE6F4
0x9476	0xE6F5
0x9477	0xE6F6
0x9479	0xE6F8
0x947A	0xE6F9
0x947E	0xE6FD
0x94A1	0xE6FE
0x94A3	0xE700
0x94A6	0xE703
0x94A7	0xE704
0x94A8	0xE705
0x94AB	0xE708
0x94AE	0xE70B
0x94B0	0xE70D
0x94B1	0xE70E
0x94B2	0xE70F
0x94B5	0xE712
0x94B7	0xE714
0x94B8	0xE715
0x94B9	0xE716
0x94BC	0xE719
0x94BF	0xE71C
0x94C1	0xE71E
0x94C2	0xE71F
0x94C3	0xE720
0x94C4	0xE721
0x94C5	0xE722
0x94C6	0xE723
0x94C9	0xE726
0x94CB	0xE728
0x94CC	0xE729
0x94CD	0xE72A
0x94CF	0xE72C
0x94D0	0xE72D
0x94D1	0xE72E
0x94D3	0xE730
0x94D4	0xE731
0x94D5	0xE732
0x94DB	0xE738
0x94DC	0xE739
0x94DD	0xE73A
0x94DE	0xE73B
0x94E1	0xE73E
0x94E2	0xE73F
0x94E6	0xE743
0x94E8	0xE745
0x94E9	0xE746
0x94EB	0xE748
0x94EC	0xE749
0x94ED	0xE74A
0x94EE	0xE74B
0x94EF	0xE74C
0x94F3	0xE750
0x94F6	0xE753
0x94F7	0xE754
0x94F8	0xE755
0x94F9	0xE756
0x94FA	0xE757
0x94FB	0xE758
0x94FC	0xE759
0x94FD	0xE75A
0x9542	0xE75E
0x9544	0xE760
0x9547	0xE763
0x954A	0xE766
0x954E	0xE76A
0x954F	0xE76B
0x9553	0xE76F
0x9555	0xE771
0x9556	0xE772
0x9557	0xE773
0x9558	0xE774
0x955A	0xE776
0x955D	0xE779
0x955F	0xE77B
0x9562	0xE77E
0x9563	0xE77F
0x9564	0xE780
0x9565	0xE781
0x9566	0xE782
0x9567	0xE783
0x9569	0xE785
0x956B	0xE787
0x956C	0xE788
0x956E	0xE78A
0x9570	0xE78C
0x9572	0xE78E
0x9573	0xE78F
0x9575	0xE791
0x9577	0xE793
0x9579	0xE795
0x957C	0xE798
0x957E	0xE79A
0x95A1	0xE79B
0x95A2	0xE79C
0x95A3	0xE79D
0x95A4	0xE79E
0x95A5	0xE79F
0x95A6	0xE7A0
0x95A7	0xE7A1
0x95A9	0xE7A3
0x95B0	0xE7AA
0x95B1	0xE7AB
0x95B2	0xE7AC
0x95B3	0xE7AD
0x95B4	0xE7AE
0x95B5	0xE7AF
